Topic title: 新任国家元首登基  424列为公共假期
username,date,text
Cari_PHJ,20170403,"配合我国第15任最高元首在4月24日登基，全国人民将享有额外一天的公共假期。政务司秘书长阿里韩沙今天（3日）宣布，我国第15任最高元首苏丹穆罕默德五世（Sultan Muhammad V）将于4月24日正式在国家皇宫登基，故将这一天列为全国公共假期。阿里韩沙表示，西马和纳闽联邦直辖区将在1951年公共假期法令第8条文下享有这天假期。至于沙巴和砂拉越，将由其州政府依据相关法令作出相应的决定。穆罕默德五世现年47岁，为吉兰丹州前任苏丹之长子，于2010年9月13日接替父亲成为吉兰丹州苏丹，最高元首的任期则从去年12月13日开始，为期5年。"
thunder,20170403,"应该强制私人公司也必须放假，不然很多缩骨老板一定会假假!!"
elvinday,20170403,"私人界都是装无知，装不懂。。"
完美@1010,20170403,"看来我老板肯定照开门 "
加峻,20170403,"有假期了."
使用者,20170403,"嘻嘻～公司會說。沒這回事。繼續工作。"
sem,20170403,"私人界没有的"
weiwei318,20170403,"很好，立马跟公司21拿假，连假4天"
华人美国队长,20170403,"Ha ha ha"
盡用話題,20170403,"如果你公司没超30％是马来人，老板通常是装作假假不知道的。。。"
绝地榴莲,20170403,"哪， 哪里可以叫着公共假期？"
AMOS5566,20170403,"現在流行五天制，很多私人界已經無視公共假期。"
Jess.t,20170403,"这个一定是要放的公假吗？还是看公司"
qmy1984,20170403,"不是強制性放假，私人界的不用妄想了r"
Hishammudin,20170403,"當公務員最好可惜統考不受承認"
winnie5360,20170403,"请问是不是強制性放假？"
欧麦特,20170403,"原来西马还有公共假期法令的啊"
Jess.t,20170403,"刚才打去确定了，这是强制性的"
elysebear,20170403,"我老板说要看到劳工部的memo才算。"
winnie5360,20170403,"刚才打去SEBERANG PERAI的劳工部，他们讲要等到下个星期拿到MEMO才知道。。"
盡用話題,20170403,"强不强制性，当然是权倾朝野的阿吉说了算。。。i love pm"
夜铃,20170403,"Daulat Tuanku"
haolengzai,20170403,"如果这个假期跟另一个假期同一天，有没有放多一天假？那天也是某些州的另外一个假期咧israk mikraj"
deadman,20170403,"給你們老闆看這個肯定會放你假。另一方面，《中國報》證實，無論是公務員或私人界職員，都可在4月24日國家元首登基日享有公假，否則相關僱主公司可被罰款最高1萬令吉。新聞來源http://www.chinapress.com.my/20170403/%E5%9C%8B%E5%AE%B6%E5%85%83%E9%A6%96%E7%99%BB%E5%9F%BA%E6%97%A5%E5%85%AC%E5%81%87-%E9%A0%88%E9%81%B5%E5%AE%88-%E9%81%95%E4%BE%8B%E8%80%85%E7%BD%B01%E8%90%AC/"
Renddy6105,20170403,"真好，还有五天制我这边星期六上半天"
Renddy6105,20170403,"发觉马来皇室都很白"
syncsw1,20170403,"丢啊星，都一大堆假期了，又来新的假期。还要是失惊无神突然杀出一个假期来，你要我们怎样做planning哦？公司很麻烦管理的ok "
syncsw1,20170403,"如果两个公共假期在同一天，第二天自动成为假期。1955年劳工法令第3条讲滴。================================不过有一个bug，4月24日的另一个假期isra and miraj并不是一定要放的假期，只要你公司一年有放至少10天公共假期（不包括Holiday Act 1951 section 8公布的假期，比如这个元首登基假期就是这个条文下的公共假期，必须要放的），就有权选择不放isra and miraj的假期。"
haolengzai,20170403,"谢谢分享  如果我的handbook有写明可以放israk的假呢？又怎样说？"
syncsw1,20170403,"照理说employee handbook有写就是某种形式的 written agreement了。虽然我不知道你的handbook有没有带着一句 Holiday entitlement as stated is subject to change with reasoanble prior notice from the management 之类的disclaimer。"
ICEMAN2011,20170403,"424?幸好不是华人的，不吉利的日期？"
三傻Samsung,20170403,"算是吧！根据《中國報》證實，無論是公務員或私人界職員，都可在4月24日國家元首登基日享有公假，否則相關僱主公司可被罰款最高1萬令吉。"
Jess.t,20170403,"请问这里谁知道employees handbook 那里可以拿sample吗？是一定要自己打完出来吗,我知道有些条列和公司不一样，但是太多了，谁能让我知道呀。。。"
科学就是未来,20170403,"还好不是月头，月头很忙"
莱殊,20170403,"也有黑的。。。。不过一般无法继承王统。。。。"
cvbl16,20170403,"谢谢分享"
神垂死,20170404,"老板肯定说公司不素你阿公的~"
夜铃,20170404,"撒毒马来西亚还有东西马来分。。。果然喊了那么多年还是个口号罢了。"
hcseng,20170404,"吾王万岁"
Barryliaozs,20170404,"登基的事应该很早就敲定好，那放假的宣告也可以早点通知，最起码一个月前给国人知道，这样老板给假也给得愿意点，而不是打乱阵脚。"
