Topic title: 午后倾盆大雨釀闪电水灾 请避开雪州2大道！
username,date,text
Cari_CYJ,20171030,"今天（30日）下午的一场大雨，导致雪州2大道发生闪电水灾，出现交通瘫痪的情况！图片来源：Info Roadblock JPJ/POLIS 面子书图片来源：面子书根据Info Roadblock JPJ/POLIS面子书上传的照片及视频显示，南孟沙附近的联邦大道（Federal Highway）已出现积水的现象，并导致交通严重拥堵。图片来源：Federal Highway-Lebuhraya Persekutuan 面子书图片来源：Info Roadblock JPJ/POLIS 面子书图片来源：Info Roadblock JPJ/POLIS 面子书在加芙大道（LEKAS Highway）通往加影Kantan Permai，巨人霸级市场（Giant）前也发生闪电水灾。Loading FB Video...[fbp]https://www.facebook.com/inforoadblockjpjpolis/posts/852741254903586[/fbp]"
梦想之追求者,20171030,"真的新闻吗？"
超笨无比,20171030,"http://www.chinapress.com.my/201 ... %E4%B8%80%E7%89%87/"
Carpenter,20171030,"又有得吵了"
梦想之追求者,20171030,"又有机会可以赖咯"
夕阳子句,20171030,"都别吵了，这是上苍的旨意"
syncsw,20171030,"老大，图片很明显是kerinchi，bangsar south前方淹水，这部分属于KL，而雪兰莪那部分是没有淹水的。虽然KL或雪州淹水 effectively并没什么差别，但还是要提一下，不然等下马华仔/中立仔又拿来造文章 "
kingpower2016,20171030,"现在是不是雪州 还是KL.这样的话对方可以集中攻击雪政府了。"
ijibang,20171030,"病城几时又要淹水啊？"
VINCENT@YONG,20171030,"所以驾大车很重要><ORV与SUV无压力的通过..."
VINCENT@YONG,20171030,"黄泥水就证明是旁边的工程弄到沟渠堵塞了吧...."
mark,20171030,"等下中立说不管在bolehland 那个州水灾都进林神的帐"
一条粉肠,20171030,"都是林冠英填海才导致雪州淹水，林冠英肯定要胶袋。"
一条粉肠,20171030,"真想看看这一楼那些中立的会说些什么鸟语花香的鸟话。"
dogdogman,20171030,"中立藍X會說你們提不關於檳城土崩的事情，就是故意轉移焦點。這裡可以談什麼的道德標準已經被中立藍X們給壟斷了，一切由他們說了算。"
一条粉肠,20171030,"我最反感的就是，他们pusing话题往往都不敢承认自己是在pusing，而反口说他人pusing话题，真没春。"
us2009,20171030,"就算是属于雪州地带，那些大道不是全归国政管的吗?"
kmrddecade,20171030,"开发过度就是这样的咯，不管哪个州都是一样"
dogdogman,20171030,"這種照片如果出在在檳城擔保那些藍X的華文報，網友，NGO 會高潮不斷。可惜不是。是KL的。"
禅师,20171030,"比起檳城，雨量還有一段距離檳城當時累計雨量破200mm"
thunder,20171030,"可能马来蓝教兵会pusing给公正党，但悲天悯人的马华蓝教兵是不会理除了Penang以外的死人塌楼淹水，中立NGO屁也肯定不会放一个!"
dogdogman,20171030,"你們已經被洗腦到只能接受‘有水災” = 就是過度發展“。因為為了攻擊檳城，那些人就是一直拿”過度發展“來修理檳州政府。搞得大家對於水災的認知就是“過度發展”水災，在偏遠鄉村地區也會照樣發生。九月多檳城發生水災的時候，吉打很多的偏遠鄉區一樣大淹特淹。請問這些地區哪來的”過度發展“？！還不是一樣會因為超大雨勢，地勢偏低而照樣淹水。就連山芭森林一樣會水災，只不過因為那些動物比如猴子，山豬們都不會上網投訴，記者也不會跑到沒人住的地方去報導沒人住的地區水災。所以，有水災等於沒有水災。"
水沉万山,20171030,"吉隆坡的选民是不是也要报警调查市长有没有在治水拨款里涉嫌舞弊? 为甚么没有工人清理或工程师建议加大沟渠?"
dogdogman,20171030,"不是檳城的，自然不值得一提。中立NGO也沒興趣理會。"
dogdogman,20171030,"既然不是在檳城發生的，就當然不是“過度發展”之過。天災而已，大家不好小事化大。"
Hishammudin,20171030,"這幾天tv3很給力報導檳城那些專家也難得有機會上電視"
dogdogman,20171030,"明年44億的生命之河工程完工以後，看看KL是否一樣淹水。不過，KL淹水大家也不會放在心上的啦，畢竟它不是檳城。Natural Resources and Environment Minister Wan Junaidi Tuanku Jaafar in August had said that the problem of flash floods in Kuala Lumpur will be [color=rgb(0, 51, 153) !important]resolved when the River of Life project is completed late next year."
dogdogman,20171030,"不是檳城的，對中立來說根本就沒什麼大不了。報紙刊登這種新聞根本就是浪費資源。而且，這時候 報導這種新聞，是企圖轉移檳城土崩事件嗎？！"
cct2050,20171030,"自己洲内一年内 30+次水灾，政棍们束手无策，完全没有治灾办法了自己管不好 ，指那他们也一样烂 ，兮盟兮粉只剩下嘴炮式的比烂宣传Oct 30, 2017 一场滂沱大雨，造成部分地区交通灯瘫痪及严重积水，敦林大道更出现长达4公里车龙。https://www.youtube.com/watch?v=-qqE9W21M34"
dogdogman,20171031,"是要踢爆假中立的虛偽一面，你就是其中一條。整個馬來西亞的水災，“中立的”只會提到希盟州有水災，特別只會攻擊檳城而已。"
dogdogman,20171031,"新山單單一條街，過去的八月九月，就足足淹了16次。單單只是一條街，就在兩個月哦。當然，因為不是檳城的，對中立們來說，不要說兩個月淹16次，淹160次也不是問題。"
hangz81,20171031,"这是天灾所以不需要任何人负责，居民就只有自娱吧"
loongken,20171031,"联邦大道就是政府管的。"
禅师,20171031,"2周之後，西馬半島即將開始進入東北季風天氣形態。"
jash_candy,20171031,"这样可以开小船不好吗"
Fenny,20171031,"黄泥水。。。严重下"
thunder,20171031,"问看大师水沟都不能管理，如何管国家？"
cct2050,20171031,"jb 那一条街，地势低，又靠近海边，排水不及，除非填土，建水呗，才可以解决，商家愿意吗Z檳城各地随机水灾，更严重"
dogdogman,20171031,"這些年來中立藍X攻擊檳城淹水時候，都會質問說檳島周圍都是海，不應該會淹水的哦。一定是過度發展所以才會淹水。你現在竟然敢以“靠近海”來替新山辯護？又再次證明中立藍X們的標準永遠都是兩套的。"
cct2050,20171031,"嘿嘿 新加坡近海，乌節路一个时期也常常水灾海平面上升"
dogdogman,20171031,"現在為了要替新山辯護就要回歸理性討論。攻擊檳城時候就以瘋狗姿態出現。我100%了解你們“苦衷”"
cct2050,20171031,"真白痴曼谷也面对海平面上升"
SIEWMIN,20171031,"很自然啊"
cct2050,20171031,"美国迈阿密城市计划把城市填高http://www.zaobao.com.sg/znews/international/story20170918-796090"
syncsw,20171031,"马华仔/中立仔的pattern很容易看的。如果是槟城/雪州，理所当然算火箭的责任。如果是国阵州，就看选区是谁的。比如KL市中心是bukit bintang或lembah pantai选区，就是火箭的责任 如果选区是国阵的，那就是火箭作为反对党没有监督的责任。"
syncsw,20171031,"先不管federal highway淹水责任归谁，我是指出该淹水地段是KL的（cari记者写不对），费事等下马华仔/中立仔又出来踢自己own goal "
teachew,20171031,"马华仔/中立仔全部人都不进来这座楼，免得被开炮！其实，他们一个个都是懦夫！"
dogdogman,20171031,"你現在為了替新山水災辯護，就變得很學者很理性跟大家上課。拜託，你提出來的海平面上升誰不知道？曼谷海平面上升，新加坡海平面上升，檳城的海就不會上升？！問題就是出在藍X兵以不同態度對待同樣一件事情。攻擊希盟州屬時候，尤其是檳城。就變成這種瘋狗完全不跟你講道理的模樣，就是要咬死你.但是，為了捍衛國陣州，就會變得很理性，很科學論據跟大家來上課。"
yk13,20171031,"雪州政府也要学学林神才对到底哪条路是雪州还是KL的如果是在雪州，还要区分联邦公路和州公路才正确，因为联邦公路是中央政府管辖的！"
cct2050,20171031,"就等你这话平民的我也知道海平面上升，霖政棍不知道知道了，还把应该花在建防浪坝的钱乱撒给穆斯林，万一印度洋再发生海啸，海啸将摧毁整个槟岛，证明这是不顾未来的一个回奴政权知道了，还把民政保留的绿化土地廉价卖给发展商图私利 ，让原本就慢慢恶化灾区快速恶化，证明这是一个贪得无厌不顾一切的政权"
禅师,20171111,""
