Topic title: 阿德南全力反对 JAKIM 搞的 Halal 蛋糕措施，说好的阿德南是西马国阵走狗呢？
username,date,text
bashlyner,20170105,"阿德南政治秘书程明智促请麦当劳管理层，勿将“不允许顾客携带没有清真认证的蛋糕入店”的作法，延伸到砂州各地的连锁店。砂州政府也禁止西马的宗教极端分子及种族沙文主义分子踏足砂拉越。（砂拉越·诗巫5日讯）砂州首长丹斯里阿德南政治秘书程明智促请麦当劳管理层，勿将“不允许顾客携带没有清真认证的蛋糕入店”的作法，延伸到砂州各地的连锁店。程明智今日发文告指出，该快餐点管理层在西马实行的有关作法，并不适用于多元文化和宗教的砂拉越。如果该快餐店要在砂州各间连锁店相续实行，相信会引起非穆斯林消费者的杯葛。他强调，砂拉越各族拥有和谐精神，彼此之间都能包容不同的文化，这也是砂州的一大特色，也是各族人民的骄傲。“砂拉越不允许有宗教极端事件发生，因为这将破坏砂拉越各族的团结。砂州政府也禁止西马的宗教极端分子及种族沙文主义分子踏足砂拉越。”程明智说，麦当劳管理层在西马实施有关的作法，已引起一些人的不满，并发动群起杯葛，而这正是消费者本身的权力。http://www.sinchew.com.my/node/1602538===================阿德南是穆斯林，也是国阵的人，都敢站出来对麦当劳和 Jakim 的条例呛声相反华人政党火箭去了哪里？在盘算怎样拿更多华人的前去贴给马来人穆斯林？比如最新的穆斯林导游培训计划http://www.orientaldaily.com.my/north/bm20203207"
gaomin,20170105,"搞不清楚吗？勿将“不允许顾客携带没有清真认证的蛋糕入店”的作法，延伸到砂州各地的连锁店。意思是，不反对在西马执行。"
bashlyner,20170105,"阿德南是砂捞越首长，为什么要管西马事物？"
gaomin,20170105,"单是砂劳越都管不好了，谁还奢望他管西马？"
一燈大師,20170105,"火箭兵想按贊，又不好意思縮回去。"
k_f_kho,20170105,"反对党应该赢不到sarawak了"
空中说话,20170105,"只是这样讲就让砂拉越反对党无立足之地，这样厉害啊？"
feilong,20170105,"难道西马一直来不是多元化多宗教的吗？ "
q(o_o)p,20170105,"難道要設 東、西馬 兩個 JAKIM ???"
lam69,20170105,"很好，一直自认为很清高的jakim 被撕破假面具，原来是极端分子。哈哈"
山村野夫,20170105,"还好阿迪南不是一个自我矮化的州首长。"
~Zack~,20170105,"他又不是某神，可以在马六甲的垃圾飞象过河到槟城变成万人景仰。"
oneoftheuser,20170106,"几时要把首长位子还给达雅人？"
fcblue,20170106,"做戏吧了"
仓底货,20170106,"看样子，楼主很喜欢吃：可是又吃不到，是不是很不爽？"
lam69,20170106,"凑巧而已"
TMNUTsucks,20170106,"楼主不是说我们砂朥越是森林州，说我们是住在树上的吗？怎么了？难道现在已经清醒，知道我们不是住在树上，而自己才是住在树上的了？"
JowY,20170106,"其實沒有很好吃"
假冒是神20,20170106,"UNCLE很不喜欢潮州帮在SARAWAK到处砍伐有点子么?"
giftfre,20170106,"请不要误导读众，阿德南并非是西马国阵走狗而是砂朥越本来就有一些的自主权。"
仓底货,20170106,"当然，如果比起这个，M 记就根本不好吃。"
一燈大師,20170106,"馬來西亞這些被煽動杯葛麥當勞的華社民眾，思想落後新加坡 20 多年。新加坡麦当劳：90年代起就禁非halal蛋糕（新加坡6日讯）正当大马麦当劳近来禁止顾客，携带非清真认证的蛋糕进餐馆庆生而引起热议时，新加坡麦当劳原来从1990年代起，就不允许非清真认证的蛋糕入店。 "
amadeus82,20170106,"http://amadeusbv.blogspot.com.au/2017/01/blog-post.html"
JowY,20170106,"希望泰國 McD 可以出燒肉漢堡"
