Topic title: 印裔男教师涉诱奸少女  竟劝少女母亲说服女儿出卖身体！
username,date,text
CARI_KJW,20171102,"近日紙眻来，一嶬鏐段电话录音恽誺在WhatsApp广泛流传，一晔寶名56岁的沎菖淡米尔颢魾蒬学校教师，企图滥用愮涪蕼职权劝汮侌余一名母亲称，若她鏉詬的女儿跟自己上熋腾床，檴絰觕就能获得略嗋工斿头帒作机会汾药褱。原来鎱鉸，这沓窈嬙名淡米尔榔蠴学校教师竟囍墀是覨脠侖国大诛蛈党阵踓燎的前支部领袖！据马新社，在殰錥长达8嬺绗分49秒旰滸廮的电话录音中祃覼，该男子声称，屙趋他已协助过很多刚考完大镰欩玫马教育文凭（SPM）考试搼嘇豲的女萑藖学生杙癿岣找到跻洩羛乙挚絡工牮黄棑作，而唯一矜鬁条件魆拟就丫德是“跟捨逜潛他发吷衫生性关系”。“请告诉我钕姽國灑甍酆时间和乇漰常襊啫秀地点以嶵褵及会梀躠贤进行多久，孞常如果你的儎揋女儿不嫖毸鍣感兴趣，也请告诉薾諆椩我，愃詵峪我髆讣锱会收回这洛蒩糃餛菲个矾蓱糕工笂粝铄作机会縮詮，毕竟还有綼篠很多女孩正詠犣在等待。”该名男教师甚至向少女姧苭棈的母亲抱怨，指少女没襂浳婋有回复他蓆臑釔的齖愊镂电话及讯息。他軸父还声称，少女只需燜璞要跟他郻蓬进行一撔囫腫次性交易，往后两人捛墦拮齵浹就珞嗟是“陌生鹭麺盝誂人”，劝说少女倸紴侴的母亲“别放过这粈扠匀绝佳机会撝殹材”。事件曝光后，这我餍名男教师已辞去焴賠在他菜捂在国擥儚忛大瑐瑣党嚀訲的职务，而教育部副部长拿督卡马拉纳登指出，如嵚騇鋊今这碏客燺名男教师已被调派至教育部从事文书工轻颶豞彜怛假作，直到异諾调查贘详工娦喍作结束暻办为止。卡马拉纳登说，伮輸鑣一旦发现这鶌婣名老师确实犯罪，教育部将毫不峣瞯犹豫地埯跶革除他祘郈汶的鋏珽鮫职务。"
空中说话,20171102,"在这之前不晓得已经吃掉多少少女 ？"
AMOS5566,20171102,"色字頭上一把刀誰不懂？但是犯賤的人就是喜歡以身試法，將自己遺臭萬年。"
seankaz,20171102,"人渣就是人渣，拿去关了"
elysebear,20171102,"政府部门犯错最厉害就是调职～"
使用者,20171102,"這些人應該執行我説的。。。切睾丸。@老猫.99 "
流星穿月,20171102,"毕业了还需要这个色狼帮忙找工作咩？又不是没文凭。"
AMOS5566,20171102,"企圖威逼利誘，以行齷齪之事，真的妄為人師。"
绝地榴莲,20171102,"人家可能会说： sound like me, but that is not me."
lion_o,20171102,"狗阵色徒最多失去退休金也好，免得人民白养这种人渣"
beoa,20171102,"来自印度大国的根"
Daewood,20171102,"他的祖国，强奸之都哦，当然一样的咯"
情牵軒尼詩,20171102,"N年前一个安检部老咖也跟我分享了一个类似的故事。话说某大学的一个硬度讲师,专挑那些重靠的女生,暗示要陪睡才获准及格,还暗示晚间8-10去他的办工室找他,结果猎物勇敢的举报,与安检配合来了一出大龙凤最终色狼没得程,在校门安检当场被捕,事后被革职"
Carpenter,20171102,"所以说，色狼是不分宗族和宗教的本人提倡一夫一妻，绝不出轨，想都不可以，更别说这般的犯罪行为。"
没来racer,20171102,"黑皮活得真happy"
小牛85,20171102,"@我是坏孩子 尼滴nehneh愛人  "
老猫.99,20171102,"切了拿去慢火炖熬，记得放八角，川弓和当归，然后在给他吃 "
kentpua,20171102,"这支畜生还不马上抓去坐牢？"
JowY,20171102,"黑皮不解釋"
prince,20171102,"这就是国阵的把戏，把经济搞坏，才能搞穷困的女人。"
洗零,20171102,"8分49秒的电话录音中！这种又蠢又咸湿的黑皮还居然是党支部"
sifuking,20171103,"de....... boleh makan makan saja la....."
yk13,20171103,"原来我国除了睡觉文化，还有调职文化啊~"
使用者,20171103,"是的。我也是這麽説。"
lancer12,20171103,"应该捉起来关。。。"
leouy,20171103,"国阵前支部领袖？但还能辞去职位？也就是现在是区会领袖甚至中央领袖"
lokecl,20171103,"我不能赞同的更多了"
tsc2828,20171103,"如果有录音还要查。一个月后又忘记了。"
师兄,20171103,"如果真的是这样的话不知道要挨多少鞭。。。 "
使用者,20171103,"Y not ? 爲何不？"
老猫.99,20171103,"但是吼， 还是很多人认为残忍 "
使用者,20171104,"殘忍？TMD殘忍。。。他搞人家女兒的時候呢。不算是殘忍嗎？真是的。。。"
lokecl,20171104,"那么恐怖的戏原来你也看的。"
LeeShengYeh,20171104,"这样的人根本就是废物"
老猫.99,20171104,"就是有很多酱的人啊， 就好像， 路霸欺负人，但是又被人打到半死， 到时又有人说残忍了 "
使用者,20171106," 看恐怖戯沒罪。"
使用者,20171106,"對敵人好，對自己殘忍。"
老猫.99,20171106,"是咯， 把他们的那个 当 KFC 来炸 "
使用者,20171106,"炸睾丸！炸睾丸！炸睾丸！"
老猫.99,20171106,"炸过后，记得要撒辣椒粉和黑胡椒粉， 然后再给他吃 "
lokecl,20171106,"你又想太多了。"
使用者,20171107,"我沒啊。我只是說。看恐怖電影。無罪。"
C9Willian,20171107,"啊三国度，无奇不有"
lokecl,20171107,"如果你没有想太多，你是不会酱说的。"
使用者,20171108,"我米有。我米有想太多。"
lokecl,20171108,"要稳定，不要乱"
