Topic title: 巫桶主席终生制？
username,date,text
12A123,20170829,"  由于在经济前景不堪时，纳鸡依然交出一本“靓丽”的经济报告书。     如此伟大的人物，在巫桶里完全没有人可以代替，一般被提出接班的巫桶人物，更是素质太低了。        一马概念更是得天独厚的成功。为了表达对领导的绝对支持，3000多位党中姎代表，准备提议让纳鸡成为第一个终生主席。   期待已久"
元旦8466,20170829,"举脚与J J赞成！！！"
12A123,20170829,"怎么没有用手？"
假冒是神50,20170829,"UNCLE是不投票的对UNCLE来说谁打的广告都同样不重要都打的广告同样不必知道嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
元旦8466,20170829,"双手撑地…"
12A123,20170829,"怎么会这样啊？"
弟兄姐妹,20170829,"我提着小弟赞同"
mark,20170829,"马华中立强烈支持...."
12A123,20170829,"听说凯里反对"
cct2050,20170829," 2000 年以前马哈迪也想终身首相不过心脏不好而做罢"
12A123,20170829,"避免分裂的办法？"
