Topic title: 终于学到林神那招了！都是因为前任的错！马航
username,date,text
爱林宜,20170711,"纳吉：马航面对问题 “前任是始作俑者”国内新闻10/07/2017（雪邦10日讯）首相拿督斯里纳吉今日暗批前首相敦马哈迪医生，是导致马航面对许多问题的始作俑者！“马航的历史充满了可怕的决定，这是一个由我其中一位前任者所造成的噩梦。”尽管纳吉没有指明“前任者”的身份，但相信是剑指已加入反对党阵营的前首相敦马。无论如何，纳吉强调，他将确保马航得以复苏。纳吉是于周一为马航的波音B737-800班机披上新装“我的国家”（Negaraku）的揭幕仪式上，如是说。预计明年转亏为盈首相兼财政部长拿督斯里纳吉指出，重组马航的首阶段工作已完成，马航预计可在明年转亏为盈。他说，马航总执行长彼得贝柳今日亲自告知此事。纳吉指出，目前马航专注在第二阶段重组计划，涉及增加新航线，包括11条中国直航，同时也会探讨机餐、娱乐及飞机品质等项目。他相信通过重组计划，马航可以在2018年重新获得Skytrax评估机构评为五星级航空。纳吉提到，当年马航决定重组裁退6000名员工，他已指示国库控股公司必须尽可能以人道方式处理。他说，据知有78%员工登记寻找工作，当中98%已获得新工作。他希望每位马航职员继续奉献，致力协助公司成功，确保马航恢复成为领先的航空公司。http://www.kwongwah.com.my/?p=352844***********"
kwai56,20170711,"千錯萬錯都不及提拔現任的錯 "
山村野夫,20170711,"什么都可以copy，纳吉的无相神功已练到登峰造极。"
Cocacolavic,20170711,"散伙吧，大家都已经努力帮忙，证明是扶不起的阿斗"
蓝火爆,20170711,"中立的说；林神是赖前朝，纳吉是说事实。。。"
科学就是未来,20170711,"全部赖前任就可以。以后其他行动党人做首长 ，前任也。。。"
皇上爱皇朝,20170711,"以后叫赖几好了"
dogdogman,20170711,"有人連前任和前朝都傻傻分不清楚。比如說現阿吉哥的1MDB，全體國陣成員黨力挺到底，包裹阿吉內閣的所有部長。等到以後阿吉哥沒做首相了，1MDB 一發不可收拾，那時候國陣就把罪狀推給前任阿吉哥一個人。這種情況下，推給前任然後拍拍屁話說不管我的事是不行的，因為這個前任是你的自家人，當初你還力挺到底的。再打個比例，現今檳城的兩岸三通政策，是檳城州政府上下推行的，尤其是那個曹觀友。以後林冠英不做首席部長了，萬一兩岸三通screw up 了，曹觀友跟他的一眾支持者如果企圖把一切都推給“前任”林冠英，那也是可恥的行為。"
mark,20170711,"MO1说1MDB的世纪贪污案也是前朝的错..."
revolt_cobra,20170711,"前任和现任都来自无桶，何来前朝"
syncsw1,20170711,"我绝对不同意你诬赖纳吉哥哥抄袭林神，纳吉哥哥明明就是原创的。林神是骂另一个政府的前任，纳吉哥哥是骂同一个政府的前任，而纳吉哥哥还是他骂的那一个政府的主要成员。"
cyberjaye,20170711,"楼主下水去了这楼没有其它中立护航"
nagao,20170711,"腐败政府就是只会拿别人来当代罪糕羊"
李国锋,20170711,"纳吉与小林的分别是，纳吉改善了情况然后说因为欠首相无能，小林却是把情况弄坏了然后说不是他的错是前朝的错。"
