Topic title: 22宗有21宗破案  基建公司：不会忽视轻快铁非礼案
username,date,text
CARI_KJW,20171219,"我馋筸轅僝绐国写晙峻一名女网友日前透过推特投诉轻快铁“瘏祧不安全”，声称朋友被性骚扰懶粸姂时不疍鍧瑜仅无寋锯阓人伸出援手，就靣翑睋连轻快铁员坊瑒蛽工也置若罔闻。兜裼缅对此，炪刳擧国家基建公司于醋逫星期一肉穸聀（18日）发布文告指，当局从妄箨不忽视性骚扰投报，而轻快铁非礼案鯔惸的破案率也很高，最重要匬皟箶的鈃愲呐梇鲹是当事繰鹱房人必须及时袷毈向该公司作浘稐出投报以渜棂额及配合调查。根据国隲旲家基建公司所提供忴攆獣的数据，截至今年柘姓12月，该公司戬礮蕩一共接获秝朣了22宗性骚扰投报，当圹嚫中有搇捘洬21宗皆成功被辅警所侦破。“其駨坚獋中頞僪卖一个聓獷关键因素是橮逢蝜，当事人殣鼨必须在誶嗀事情发生狠捼粩后，第湷宒舒一时嚷椗殲间向辅警涸彂作出投报，同时姴蕅臺配合辅警，耧繰以逮住嫌犯。”“一巍斄鼢般上曛闭当事人敾豰孍鐼作出投报后，这貁侏些嫌犯就跒螙狃会瘛崮在槛倝几日内被逮捕。”痒傟哉国家基建公司发言人倪代楧也指出，受害者把自己被性骚扰黿囐膱的经历发布到錨宰藎社媒砗籢的举蚒靷动，也许会套砎起到琹脊亇警醒作筳酗爕狽昼用，但同时饟蹽聢也繺蕪会让嫌犯俄啂有所防备，让辅警错过了覄脱逮捕犯偛殏哽人的虉礜綾机趥碫朜会。新闻背景轻快铁内发生鳎鐶至少2宗非礼案！放声求助却没景煫蔠人救她"
VINCENT@YONG,20171219,"地铁男女分开没这问题～～"
Carpenter,20171219,"“当中有21宗皆成功被辅警所侦破”原来KL人都那么咸湿的"
wwuuhhss,20171219,"其实一直都有发生的，就看女生和看到的人有没有举报和阻止我自己有阻止过一次偷拍"
chinapee12,20171219,"华人爆乳。。。 出来LRT也不是被人摸。。。。 "
雷克斯R,20171219,"寧願po上fb拿like也不投报 "
Carpenter,20171219,"偷拍哪里 "
wwuuhhss,20171219,"偷拍胸部，因为我发现他看手机的方向很奇怪，就突然想到他应该是在做不该的时，就向前，他一发现我就立刻收起手机跑了"
yk13,20171219,"我还以为基建公司准备要告那些公开经历的人"
Carpenter,20171219,"谁的胸部 (。)(。)"
情牵軒尼詩,20171219,"男的也可以穿女装混进去,一样的。"
情牵軒尼詩,20171219,"原来kl人都喜欢在地铁里咸湿,其他州属可可能喜欢在巴士,德士,grab或uber,火车里咸湿。"
filenes,20171220,"轻快铁非礼案破案率还蛮高的."
wwuuhhss,20171220,"某个大学美女"
Carpenter,20171220,"那么她有感激你吗？以身相许？你做得很好，以行动来捍卫女性权益，赞但为什么你会看到那个色狼要拍某位女大学生的胸部？是不是你也盯着人家的胸部。"
wwuuhhss,20171220,"没有，谢谢。我刚好在大学里面跟她一起坐巴士去地铁站，她进前面一个车厢门，我就进后个车厢，站着时就看一下她（因为有点美所以望一下）就发现一个男的站在她旁，手机拿得很高，我就觉得不对劲，就向前去要了解一下什么事情，男的也是紧张做坏事所以看左看右，突然看到我走着过去，男的就紧张立刻收起电话，刚好到一个站，他就从出去，女的多几个站下车，我在女的下站后的下一个站下车。"
Carpenter,20171220,"结果还是错过了，那个女大学生也是够力，居然不知道色狼在她隔壁可惜捉不到，不然你肯定上cari头版"
Carpenter,20171220,"你99%是KL人"
情牵軒尼詩,20171220,"你100%错。因为我100%不是KL人。"
