Topic title: 【金正男大马遇害】家属即将来马认尸  尸检报告下周出炉
username,date,text
CARI_KJW,20170223,"全国陎壅懚副警察总长丹斯里诺拉昔星期四（23日）表示，金正男欰气瘦的家属将咃誃偤在两日后抵达我驛蘄国韉騲灩，鞭驇以确认于汋釅滬2月13日在罇丁吉隆坡譀袝筱国际机场遇害騃玲的男子，厪胪三就撈砸狱是朝鲜最高领导人瀐覎金正恩同父异母的骰諘兄长金正男。卫钠硎生部长拿督斯里苏巴马念则指，金正男騜冐的家属抵达大埯閨硁马后，有騧讠旤关当局将会淂洐馾向傤璞毽他弬醨痽们确认死者痳諿抰的背景资料，而完整的惴馵妔尸检报告最快将在嗎馱围鑾庢下周出炉；至洂潒鶃于金正男籊鐱的死因则必须錊軓现在马嬫萾帲来西亚皇家警察拿到攕碜尸检报告并确认后，才能向亊枰大众公开。另一簭竳営方面，全国吟鶫颿警察总长丹斯里卡立表示，警方甸灍澘会再给予2名涉嫌杀害金正男的曽踲筷朝鲜籍嫌犯几日絖罏时间自首，并劝告蓩姾玨他们璊潌倂隨党泻主欑曷橎动现身，以帍嵞髾协助警方调查。鬢毉浄这两名朝鲜籍嫌犯貓崙分别是枞绎饥朝鲜驻马大噒笲駏使馆二等秘书玄光宋（44岁）责鏜藾以及湓驯在高丽航空（Air Koryo）任职的楣彳金武义攃檔（37岁）。卡立表示，由蹂馮于其鴞奿中誊逐胼一名嫌犯玄光宋拥嚩墲嶗有外交豁免权，因此警方已致函给朝鲜驻马鼆鍿大使馆，要溧鏻奟求述旀他们屭踣提供协助。酨椙他说，倘若籘帋呣这两名朝鲜籍嫌犯再觫敞不现身，警方将根据贤瘁国际法肹惐来采取行蝝涔迊动，而警方也相信这邂涄两名涉案人馿稀士鐺薍楴的口供，将有魮蓅助于剎齆阓警方尽早侦破此案。"
leouy,20170223,"马来西亚为何干涉朝鲜内政？那只鸡之前不爽美国爆出他在美国洗钱，说美国干涉内政，现在朝鲜在马来西亚杀人，同样条件下马来西亚不得干涉的吧"
beoa,20170223,"朝鲜若不和大马警方合作呢？"
盡用話題,20170223,"总之，死刑是跑不料的，看是在那一个国家而已"
Myvi89,20170223,"可能我们鸡哥又收了朝鲜的26亿了吧"
LatteMocha,20170223,"越来越乱水，希望不会恶化到开战的程度。"
安德鲁王公,20170223,"确认身份很重要，否则难以发出死亡证。如果身份不对，例如发出的死亡证列名金哲，那么死者家属即使通过DNA检验成功领尸，也将难以继承死者的遗产。朝鲜否认金正男的身份，其中一个原因也可能在此。"
sian840424,20170223,"完全两回事。现在是有朝鲜人死在我国，而且还是谋杀案，当然要谨慎啦。换做这时间发生在其他国家也是一样。"
山地居民,20170223,"外交官姜哲是否又會發飆，還是被金正恩召回朝鮮，讓我們拭目以待"
leouy,20170223,"那只鸡也是有一点钱死在美国"
phoi86,20170223,"嗯，上次那个泥凝土铁桶埋尸体的嫌犯都还没搞定呢，这个案又会拖多久？？"
Nexon,20170224,"我看很大可能会成为下一单秘案。。。  到时候就会说结果死者不是“金正男跟住正真的金正男“神秘失踪”"
