Topic title: 疑不满摩托鸣笛紧急刹车 司机骑士公路上大打出手！
username,date,text
Cari_PHJ,20170225,"摩托与轿车于公路上发生碰撞，争论不果竟大打出手！星期五（24日）傍晚6点左右，新加坡Tuas前往Bukit Indah的路段发生了轿车与摩托碰撞事故，骑士和司机下车后争论，最终却在公路上互相大打出手。根据网友上载至新柔交通路况情报面子书的视频，女乘客被撞倒后因受伤而跌坐在地上无法站起来，而男骑士便把肇事的轿车司机拉到女乘客面前，但两人随即互相拉扯，并开始动粗，最后司机更以头盔攻击骑士。据中国报报道，摩托骑士Alan Lim指出，轿车司机在驾驶时不断左右乱窜，他便鸣车笛提示该司机，怀疑因此惹到对方不满，导致司机在其摩托面前突然紧急刹车，最终发生碰撞事故。Loading FB Video..."
舞猫猫,20170225,"那么打得，去打鸡啦 "
无名好留,20170225,"汽車摩哆踫撞 司機騎士互毆視頻流傳 （視頻：互聯網）（新山24日訊）轎車疑與男女共乘的摩哆發生踫撞后，女乘客跌倒受傷，男騎士和司機爭論不果而互毆，上演鐵公雞。有網友今晚在新柔交通路況情報站貼文，並上載上述視頻，指此宗車禍是于今日傍晚6時，于新加坡TUAS通往BUKIT INDAH 發生。綜合網友的說法，當時這輛涉案的豐田轎車（柔州注冊車牌）車速很快，所以才與摩哆發生踫撞。視頻所見，該名男騎士把司機拉到女乘客面前，結果雙方發生拉扯和肢體踫撞，期間還有人用頭盔攻擊對方。網友也聲稱，疑是司機轉換跑道時沒有看望後鏡，結果才會撞到摩哆，最后引起糾紛。有關視頻上載后，引起極大迴響，有人使用司機的轎車車牌來追查罰單，並截屏發佈一張司機擁有4張罰單（罰款共1050令吉）的圖片。無論如何，車禍的肇因有待當局進一步去厘清，暫時未知真正的案情。不過，令人哭笑不得的是，視頻結束前，有人向司機高喊其車牌變紅了，要開出頭獎了！ 另一方面，也有網友另上一個視頻，有一名身分不明、疑是司機友人的青衣人聲稱曾叫司機不要開太快。另一方面，案中摩哆騎士Alan Lim說，對方當時駕車左右亂竄，他便按車笛或引起對方不滿，結果對方在其摩哆前突然煞車才造成踫撞事故。他也說，是誰出手他自己心里有數，但也請網友評理自己受傷了，還有力氣去打人嗎？他不滿對方的魯莽駕駛態度，難道要害死別人才罷休? 转自中国报http://www.chinapress.com.my/201 ... %e6%b5%81%e5%82%b3/"
一燈大師,20170225,"財大氣粗。新幣換回來馬來西亞，工資過萬，打就打，上法庭就上法庭。"
popdog99,20170225,"新加坡警察呢？？！！搞屁啊"
yk13,20170225,"大马法律，撞摩多就是对方的错？何况对方还是紧急刹车导致车祸？"
hobjunter,20170225,"真真假假"
SIEWMIN,20170225,"新加坡路果然很干净"
gaomin,20170225,"大家都忙着赶路，偶尔犯错是难免的，何必搞到有命赚，没命花，忍一时，风平浪静，退一步，海阔天空。"
寂寞的小子,20170225,"所以一些motor很霸道的，看你换lane，老远就horn你先，好像他的motot没有break酱…紧急刹车，可能前面也刹车啊，不刹车难道撞下去…只能说他太贴车尾"
大一,20170225,"新国也有很多这样的案件。"
SIEWMIN,20170225,"還有，車也是特別是從對向路肩parking出來的，看到你要從大路轉右邊進小路時，就是不讓你硬要衝。"
lumixcer,20170225,"出来混两餐糊口，大家都有压力。。"
digidigi,20170225,"过万就大声？有钱不是大玩的，有时候慢一点没怎样，照顾一下骑士。"
巴士来啦,20170226,"大家都有压力，何必呢？退一步海阔天空"
doom123,20170226,"      不先关心自己的女人，却忙着打人      "
doom123,20170226,"               有时候，骑士自己都不在意自己的生命，如：在两辆车子的夹缝中割车           "
luvpris,20170226,"认同。。。这些Motor的速度都很快，就算是塞车也可以在两辆车中间窜都不必减速的。。。。。"
doom123,20170226,"      是不是和对方斗气？！      所以高速紧追对方车尾？      要不然，如何对方突然刹车，就撞上去？"
locolyric,20170226,"很多废材都把车子左右穿插，不打信号灯，把车子当做摩多来玩。"
闪电侠,20170226,"我们吉隆坡这里也是一样，每次一到放工时间，那些骑motor的就以为自己是vip酱，一路按着horn回家，就是要所有汽车让路给他"
