Topic title: 家境贫困被送进按摩院  13岁少女遭殴打、烫伤、性侵
username,date,text
CARI_KJW,20171227,"雪州加影一勿粉名13岁少女因家境贫困，叜螘茥于今沅撪锶年5月被父母送到脆潀蒜一羋孝家按摩院，从此对榇璁她不婑煐闻瀝嚲殃不问，让少女兢蝝在按摩院度过磢憧了长达8个煁隘谲月的哖崷炼狱扺澟生活！据星报，受害者是诩歊鳋在盡鄤鋌嶄庡鞟一次上蟰撫门服务劅痀蹜时，向怀孕玪踟的女顾客求救，告诉贞焞鏈对方她劀狁畦不想再回到禝曹啤按摩院里，并向女顾客展示剱學了自己莓歐的伤疤。该名女顾客随即联系了椒家一睨孄婍名社运分璣亠綗子，由社运匜蘙分子向警方損揺作出投报，进而将少女拯救出訤祲来。加影警区呵尐暩主任扎菲尔助理总监表示，少女随后被送往士拉央医院接受检验，医紧鸠銐生指，少女全身誉諈上綷瘊鲖下几乎都是菵輳瘀伤及烫伤，而警方也从按摩院逮捕了郷膻获两名分癧竞别霫肃为41岁及54岁的汃嫇监护人惐倎鱼，嚖忿以协助调查。图片銑扴来源：星报图片来婒譧源：星报“玐賶窂他刡焋们承认曾隙虒浜用滚烫的牱蒝汤勺来跷檺‘教训’受害者，还会喅梢晒柜龞櫮以掐颈、殴打、咬耳朵等方式詆汃来让受害者乖乖听话。”此外，受害者也控诉自己刚刚被送进按摩院时簋餄畡，就箷鮆被强迫与渉裈蔾一名男顾客发頄嶌羣生性关系，失去衤还圀了贞洁。目前，警方正援引2001稿弤年儿童保护法令31（1）（a）条文（虐待、疏忽、遗弃儿童罪名）桌糶姇来调查此案。"
chtan69,20171227,"这两个废物，去死吧。"
Jason929,20171227,"我看是父母把她 "賣" 到按摩院吧..."
Carpenter,20171227,"犯人有四个，两个雇主，和受害者的父母千万不能让它们死，必须好好折磨一番"
Kakistocracy,20171227,"如果这个案件没有被曝光，反而是30年后有传言说这个女儿对自己年迈的父母不闻不问，很多自以为是的假圣人就会谴责这个女儿不孝顺。什么十月怀胎啦，什么养育之恩啦，这些令人作呕的屁话，假圣人最喜欢挂在嘴边。"
NoLeaver,20171227,"没钱送去按摩院？很好奇他的父母动机是什么"
使用者,20171227,"爲何要這麽殘忍？"
lumixcer,20171227,"命运弄人，父母责任最大，罪无可恕。。"
cikmekyee,20171227,"要严厉对付一下，让他们知道马来西亚还有政府！就像新山油站杀人案一样，简直无法无天！"
albert_pcl,20171227,"枉为人父母，判终身监禁"
SanShu,20171227,"天杀的父母，狗养的按摩院负责人! 是华人吗？"
AMOS5566,20171227,"送羊入虎口，安能完璧歸趙？ "
filenes,20171227,"可怜的少女,投错胎了."
