Topic title: 警员下车为强奸犯买水解渴  竟让嫌犯借机逃走
username,date,text
CARI_KJW,20170227,"沙巴3名警员鹪嚭鮃为衧绂了替强奸犯买水解渴而垲氯大意趚舑庹地将嫌犯独留在蓢慳扒警车内，结果让嫌犯逮着机慔揎会逃跑，目前侑蠁下落未明！沙巴警察总监南利丁星期搩诂一（27日）证实了蔻胜殌这涯斑覻起案件，并指賈謡这起事件杤笶于星期六（25日）发迎鄢蕕生在呶黟敏比鲁兰县，嫌犯逃跑的桝撷过程仅耗费羘宺雨大约3分齛甑钟。他餘絲表示，逃走锝贖爿的嫌犯纳斯鲁（29岁）涉嫌圮腸于2月18日强奸牣檋摳了一轸纆杉名17岁少女，并于姒蕤善2月20日被警方逮捕归案。事发当天，苗鈱亹一名警长、伍长和瀊臽普通警员押着纳斯鲁前往案发现场搜证，结果郓题宇在开车返回警局蚮扤时，警员犺優醿为了几裖鵷让嫌犯方便进食，于櫅巷是愜筃揷将他敹兿骬原本扣牃谮桃在身后僬踳墨的双手，改成刧訖刾了扣在胯勔勌身前。嫌犯吃饱后，又向警员要繁盅求喝水，3名警员便搑姀獚下车进入店内购买饮料，岂料不轊乎黙到履綝3分擻偌郂钟脽烨的时銯莊超间，独自留在释磳车内的帙诹熩嫌犯就櫓鳘已逃得无影无踪。根据警方推测，纳斯鲁正匿藏斋凇在附近鉶蒁鮔的油棕园，而警方目前已经展开大摲叮鶹规模搜捕行嵪銻动，寻找笐茻他蓗窋闡的紘敯湼下落。南利丁强调，当局将调查3名不賉泵慎“放走”嫌犯的襱芿涉事警员，待调查结束后，才能确认这違呞稆3名警员是溻遦否涉及收取贿赂而故意放走嫌犯，倘若证据确凿，禁貼蜍就会浄榵对登麾缼闟他们胫誎蠊采取纪律行輗隳凢动。"
跛co,20170227,"肯定收了钱 "
qweasd147-,20170227,"3个人去买水"
小杨,20170227,"智商感人 "
Longan,20170227,"三个警员都离守.明显是放走的吧."
kit,20170227,"一是，受了钱。二是，认识的。 "
chinapee2,20170227,"看电影就有 FAST V 逃狱啦。。。。 在大马？ 吃钱就有啦。。"
sem,20170227,"3个人一起去买水， 买什么水呢？"
元旦8466,20170227,"一灯大师没水饮!三个和尚去买水饮…"
AMOS5566,20170227,"這種水準的智商，除了紀律處分，也可以直接開除了！"
elvinday,20170227,"不知道该说人性本善，还是智商零蛋。。。"
ckianhong,20170227,"原来沙巴滴警察是这么好滴。买水解渴？？？不如说是嫌犯肚子饿，买饭给他吃。"
elevenman,20170227,"这杯水很重要三位男人来扛。"
beoa,20170227,"警队=绝对厉害。"
wavie,20170227,"需要3个人同时去买水?简直是侮辱了我国人民的智商"
lumixcer,20170227,"解释不如掩饰，这么烂的故事。。"
lam69,20170227,"不是去买水，而是放水"
kit,20170227,"这三个。。。 "
seankaz,20170227,"哈哈 听到都觉得好笑"
CjHyMC,20170227,"可能这三名警察是假的警察。。。"
大小強,20170227,"好心沒好報 "
阿白,20170227,"故意放走犯人, 不用被提空?"
Orochimaru,20170227,"三人一起去买水？ 警车有给嫌犯驾走吗？？"
可恶王子,20170227,"感觉是3个姐妹淘手牵手去贩卖部买水"
Barryliaozs,20170227,"应该好几公斤重的水"
linyse2001,20170227,"马国警察玩把戏骗人民。不论是政界，警界，或是教育界等等，都喜欢玩这种把戏骗人民。马国真的那么多傻海？"
loneranger0536,20170227,"3隻警察向上司交待原因是欲擒故縱，讓強姦犯引出更多同謀以便警方一網打盡。最後3隻警察繼續工作岡位。"
终极达人,20170227,"3个人买水 ， 你以为未成年少女每天结伴上厕所咩。。。。 "
noman,20170227,"強姦犯說他以後就只強姦華人女子所以警察就放他走了~"
友仔,20170227,"沙巴警察太好人了！"
kentpua,20170227,"这些废物怎样为人民服务？"
longisland0708,20170227,"3個人去買3箱水，所以，要一起去抬上車麼？"
wrm95,20170227,"3个人一起去买水，这包水一定很重"
jeffthk,20170227,"你很幽默~哈哈"
sifuking,20170227,"傻傻嗨嗨的三个执法人员！"
巴士来啦,20170227,"三个傻嗨警察去买水"
nyluon,20170227,"好歹也把三人弄些傷，讓犯人顯得神通廣大，好讓事情看起來像是無可奈何不是受賄，就是嫌犯是自己人，不然就是權貴的親友"
Mitutoyo,20170227,"你相信它们会帮你买吗？问问在警察局尊过的人吧。。。。。外面的朋友去探访买了东西还要给RM50.00 才可以带进去！还有别的东西不同价钱。。。。。。。。。"
无名好留,20170227,"可能是受害者家属给钱警察，让警察把强奸犯交给受害者家属打几天，然后再还给警察的。。"
无名好留,20170227,"就凭强奸犯那个猫样会是有钱人？"
jsan,20170227,"三个臭皮匠，胜不过一个猪哥亮"
aquamax,20170227,"已经吃饱了。。。口渴要喝水  "
kbx,20170227,"要做到酱明显咩。。。"
kbx,20170227,"要做到酱明显咩。。。"
yk13,20170227,"很明显是故意放人的啦~~"
Nexon,20170227,"收了钱。。当然要做场好戏啦。。。"
gaomin,20170227,"车上只有3个人，当然是3个人去买水咯，如果车上有五个人，那就五个人去买水咯，，这几个看守的，他们的父母梦里不知道会不会笑。"
gaomin,20170227,"不知道有没有多买一包路上吃？"
浴血天使,20170227,"应该是收钱了。"
单一,20170227,"蛇鼠一窝, 共穿一条褲！"
phoi86,20170228,"这内情不简单，嫌犯有可能是好人，3个警察故意放他走让他去证明自己的清白。警察故事看太多了 "
vongolia,20170228,"3名警察同时下车为了给一个犯人买水？ 呵呵呵， 分明是收钱了放人吧。必须严惩！！"
beyondseek,20170228,"看標題時, 腦海里想像的是兩個警察押著犯人, 一個下車去幫他買水, 另一個剛好要去小解....想不到看了內容報道.... 竟有三個警察..... 第三個是下車去大便嗎?"
Bell86,20170228,"三名警员一起下车买水？"
舞猫猫,20170228,"拜托，一看就知道发生什么事啦"
