Topic title: 包括林良实 陈广才‧PKFZ案6人全脱罪
username,date,text
abc74,20170318,"2017-03-17 18:55包括林良实 陈广才‧KFZ案6人全脱罪（吉隆坡17日讯）涉及巴生港口自由区（PKFZ）弊案的3名被告，今日获沙亚南地庭判决无罪获释；这项最新的发展显示涉及120亿令吉亏损的PKFZ弊案而被控上庭的6人，皆没有罪名成立。这6人包括两名前交通部长，他们都一一通过法庭程序洗脱罪名。根据马新社报道，今天获释的3人是唯一自2008年起被控涉嫌诈骗巴生港务局，审讯至今的3名被告；3人是巴生港务局前主席冯惠珠、KDSB首席营运员史迪芬阿博及绘测顾问陈森永。曾在此案被控欺骗罪状的尚包括前交通部长兼马华前总会长敦林良实、前交长丹斯里陈广才，结果罪名不成立而无罪获释。冯惠珠曾在PKFZ案，被控以刑事失信罪状，结果已在去年获释。其中林良实被控欺骗大马政府，误导内阁批准购买土地以发展PKFZ计划。2013年10月25日被宣判罪名不成立，无罪释放。文章来源：http://www.sinchew.com.my/node/1624620/星洲日报‧2017.03.17"
feilong,20170318,"意料之中，合情合理，不然你想怎样？"
alola,20170318,"翁獨俠心冷"
loongken,20170318,"法律真是公平。"
lam69,20170318,"都说过了，到最后全部没事的。我不是算命师，但我“算”得出柔佛那个行政议员（土地案）到最后也是“平安没事”的。那个安华慕沙最后也是没事的。"
leouy,20170318,"那只鸡也奈何不了他们，而自己的一马案却需要千方百计遮盖，可见只是冰山一角"
一燈大師,20170318,"PKFZ 使用率都快 100% 滿了，也開始賺錢了。lets move on。"
mark,20170318,"120亿令吉袋袋平安..."
皇上爱皇朝,20170318,"有钱万事通"
pupuman,20170318,"你以前的领导吃完人民钱后才说lets move on....你真是一条好狗!"
绝地榴莲,20170318,"会有事才有鬼。"
cct2050,20170318,"９０％　被马哈迪和纳吉等人刮分　　６人只是小卒"
kennyteoh818,20170318,"全部的脸都像tvb 戏里面的奸角。"
50912cmea,20170318,""
一燈大師,20170318,"歡迎火箭議員上訴。     "
cct2050,20170318,"１９９８　年以后出现的现象马来权贵捞大钱，华人去顶岗"
pupuman,20170318,"司法都被国政一手遮天，上诉有屁用!"
JowY,20170318,"符合火箭和火箭支持者的心意"
JowY,20170318,"林良實是倒雞夥伴"
teachew,20170318,"上诉？幕后大老板都还没出呢？什么上诉？河马上树就有！"
李国锋,20170318,"鱼头林是老马的伙伴，当初就是他和老林出卖华人，把马华分离，现在b鱼头林是老马的伙伴，当初就是他和老林出卖华人，把马华分离，现在bersih把他和老马当英雄。"
Orochimaru,20170318,"恭喜大团圆结局"
