Topic title: 沙巴失联游艇搜救  22名中国游客获救 仍在搜救其余六人
username,date,text
安德鲁王公,20170129,"http://news.ifeng.com/a/20170129/50636790_0.shtml中国领事馆：失联船只疑沉没 28名中国游客漂流待援快讯：沙巴失联船只疑沉没，28名中国游客正漂流待援】中国驻哥打基纳巴卢总领事馆从马方了解到的最新消息显示，失联船上有28名中国游客和3名船员，船只疑似在接近环滩岛附近海域失事沉没，其中2名船员设法上岸求助, 我游客在1名船员的帮助下连成一体，漂流待援。目前，搜救工作仍在紧张进行中。图为马来西亚海军司令卡马鲁扎曼发给中国驻马来西亚大使黄惠康的海空搜寻图祝愿他们都平安无事，和家人团圆。"
q(o_o)p,20170129,"天氣不好硬是要出海，也不知道是遊客的執著還是船主爲了多賺一點錢而冒險，不過這次船主和遊客都 gg 了"
安德鲁王公,20170129,"在新闻网站看到的，沙巴目前积极在中国打广告促销旅游。可能部分非热门景点地区安全意识还不充足。如果消息无误，船员也算可以了，等进一步的消息再看看。"
黄花鱼,20170129,"希望能够平安回来."
安德鲁王公,20170129,"中国驻马来西亚哥打基纳巴卢总领馆29日说，马来西亚救援人员已经发现搭载中国游客船只上的大部分人员，救援工作正在紧张有序进行中。 ​​​​另据@环球网，马海军司令向中国驻马大使黄惠康大使通报：已有5名乘客被救，其中包括1名儿童。搜救行动仍在进行中。http://news.ifeng.com/a/20170129/50636912_0.shtml"
安德鲁王公,20170129,"马来西亚沉船 22中国游客获救中国驻马来西亚哥打基纳巴卢总领馆29日说，马来西亚救援人员已经发现搭载中国游客船只上的大部分人员，救援工作正在紧张有序进行中。 ​​​​另据@环球网，马海军司令向中国驻马大使黄惠康大使通报：已有25人获救（含3名船员），将继续搜救剩余6人"
q(o_o)p,20170129,"其餘 6名應該不會漂很遠，只要不是被吃掉或者溺水，應該很快能找到的"
安德鲁王公,20170129,"注：这篇报道可能有误，新闻已经更正。"
安德鲁王公,20170129,"入夜增加搜救难度。依照现在的消息，应该还有一名船员和三名中国游客失联，希望他们都平安过年。"
全球樱,20170129,"加油，希望能撑住。"
安德鲁王公,20170129,"The Star 有不同的报导，报导称有三名乘客“相信“已经罹难，不过还没有医生证实。另外还有六人失联。如果属实的话，那就太不幸了。如果真的是这种小艇，那就是超载了，拥挤得难以想象，而且船主报警的时间也显得迟缓。56公里水路，费时超过一个小时，接近两个小时，却超载那么多人，原因有待查明。http://www.thestar.com.my/news/nation/2017/01/29/25-more-rescued-four-still-missing-in-sabah-boat-mishap/"
安德鲁王公,20170129,"有关当局正在调查该艘游艇是否是在沙巴注册，因为该类型游艇在沙巴注册的话，作为旅游用途它被限制最多只能搭乘12名乘客。但是如果在外地注册，这种游艇则可能允许搭乘30个人。http://www.themalaymailonline.com/malaysia/article/authorities-to-check-registration-status-of-catamaran"
安德鲁王公,20170130,"有报道称，之前“相信“已经罹难的两名乘客为本地人，Aman Abdul, 38 and Sharezaa Salian Sali, 25。可能还在抢救，医生没有证实。http://english.astroawani.com/malaysia-news/3-dead-6-still-missing-sabah-catamaran-mishap-130619一些情况还需要理清，原本报导是三名船员，加上28名中国乘客，一共31人，现在又多了两名本地乘客，真正情况可能还需要进一步证实。"
Engineer,20170130,"惨了！大马搜救行动这么慢，再次打击中国人对大马的信心。看来来马旅游的中国人会再次减少"
Orochimaru,20170130,"同样的船，沙巴注册载12人，外地注册载30人"
BlazeA4,20170130,"就算可以載30個人也是超載了監管不嚴是我國的通病所謂欺山莫欺水出海本來的風險就比較大所以應該更小心"
