Topic title: 女子跑步遇劫更险被性侵 警方火速逮捕孟加拉嫌犯！
username,date,text
佳礼编辑,20170510,"槟城双溪赖一名24岁女子星期二（9日）傍晚在槟城大桥下（靠近The Light公寓处）的步道跑步时，遭一名外籍男子持刀抢劫。在割伤了女子的手臂和小腿后，这名男子竟还要性侵受害者，所幸受害者成功反抗并逃走求救，才避免自己被玷污！根据中国报报道，警方星期三（10日）火速宣布，当局已经逮捕了一名孟加拉籍嫌犯归案，并将援引伤人兼抢劫罪作出调查。受害者在负伤逃走后遇到民众协助，并将她送往附近一家诊所治疗。根据光华日报，受害者的父亲怀疑女儿已被嫌犯锁定才会遇劫。图片来源：面子书图片来源：东方日报"
Lilyane401,20170510,"太可恶了， 看了好生气"
Hishammudin,20170510,"知道特定時期有人需要他們作風形式越來越大膽了"
水沈万山,20170510,"这种人就需要一种宗教来救赎。对于基本需求:性与食物(金钱)都还没解决的这群人, 宗教信仰可以给他们一个基本的正确生活方式及提升他们的人性以便能够溶入比较文明的社会环境。"
AMOS5566,20170510,"盡可能結伴同行，別讓人渣有機可乘。"
hrzheng,20170510,"天啊，真是世风日下...独自跑吗？"
重甲霸王,20170510,"不难理解为何外劳能在马来西亚横行霸道。同党都赞好！"
熊安,20170510,"回国吧,怎样都是自己的国家,有家人,有亲人,有老婆,"
熊安,20170510,"没有亲人,家人,朋友,更加上没有老婆,不适应生活,没有人可以沟通,就会苦闷过度,出此下策,其实他也是人,也有人的需要,也许不懂得上网,时时刻刻与家人联络,就喝酒解闷,酒乱人性。"
tequila123,20170510,"木有Bangla90%唐人工厂会倒闭"
kingofthesouth,20170510,"为什么哪个红衣叔叔的一根东西会举起来的？"
熊安,20170510,"人的原始本性,兽性,在酒加上苦闷就爆发出来。看狗就知道了。"
tocagold,20170510,"这样的话就没办法了，得限制外劳工作和放假都只能在特定地点活动，如工地。不能外出直到回国 ：0"
阿白,20170510,"以前我小时可以一个人在外面骑脚车自由自在, 现在连大人都要躲在家里, 只能上佳礼消遣"
loongken,20170510,"又是放太多外劳进来所引起的市会问题。"
super77,20170510,"将印度和孟加拉的性侵社会问题带到马来西亚。。。good"
华人美国队长,20170510,"现在变态人多,,大家要小心"
小杨,20170510,"外劳很可能是看到雪白大腿就beh tahan了"
vongolia,20170510,"我认为外劳犯案应该罪加一等，必须双倍惩罚。。。"
maxleong,20170510,"连孟加拉也是坏人了。"
seankaz,20170511,"严惩吧，打断双手再送潜回国"
