Topic title: 女子逛名牌店遭诬赖偷窃  警方：认吧，最多赔钱了事！
username,date,text
Cari_LSV,20171025,"到泞闝騯名牌店粦餐不能随意翻开自己捋湹的包包，否则廁娗魮的话，很容易被人櫽謗螌误认遱噝罼为你是襩窙偷窃犯？图片来謮韀赞源：Liz 面子书日前，女网友Liz佁湊撤和友人烣熊渵垟焠嬁到名牌店逛街麷陜娔时，諌牧就不瘃忺盹幸遇弈砤啶上銪舐这样於贰的倒霉事迹。Liz说，她在馠福23日璨螤下午1点左右，和旦團祵4名友人獒鸒到礹叚柔佛名牌城逛街。当喟嶛昘时，她邃鍪们一睴黆连逛蕷邖荲了好几家商店，但綈燇在Mx店逗留蹭勔了较长的柾賞礞时璉觀蓐间。“诃鹯在Mx店逗留比较久，因凐循饤为看中捌蟵吕一黩洙个藋篥黑色钱包但因为掩錙折扣问题就湰讫馈离开櫏噂了。”大温鳣约1个閦殃瑀小銑吖烂时后，当她们牂輮准备离开敶蛱时，突然猆寅螚有警察拦截饩曓湃了她们鎳蔈蒵。警察表示，“有禿顇店员说看皛檋到你静鞉们拿了徱呰鍊东西，栱鬄要你瓃屄们去警局内。”鼧箓篴这让Liz一溕釘遟行人鰹宗一鏒餹入头雾水，直接反问警方鎭銢鎧有什么证据？结果，警方语气哈纀圖不佳地畚冸说，“你酨皗砹们最好配合，皳爁不然博逧我们慵瀥当场检查。”图片来耀盤檕源：网络鳷蜱紞于颀腜是，她们嬠鳠锇只好随警方饙背乺到那里醿扙的警局。“进阰骂癯到那边的郖甠警局玻璃躙貱是透明的頦摧，警察俣鏡和Mx仒目的侾糠人说，我珦僝韇们墇扁溱拿了槤綟店里面旆箣的东西。”“没焸罨剐有说是釨獄你们莳緮偷，但cctv看謣瀸癈到你们酃堶菳，刚好Mx 的鉄皳驘door sensor也坏覂厱了所以镦歐鴶俰抨不貿焹胆会响。”Liz本身縔竎的包包【图片来臍菌近源：Liz 面子书】自问清白凐籯旬的Liz只好把东西全倒出来剶鵦，证明自己旋顸撐的清白。但警方依然坚持说，“你们祳兰橃鼅晡就认，最多是胋細赔钱了琞繄事罢了砞素虔。”但Liz穢匡陻要求警方出示闭路电视画面。“从2.20pm-2.50pm他濅亯鑷们翊腵就莣殤show 电话里的嗍磱cctv片段，片段绝对桐印不卢豆残是蔤舌忨HD录影，垼躪圗是模糊缲砣的，看恒鰑珃到簲鄔封我拿柌靣了一蠕瓡歿个止鲨摼钱包，然后放下妻楁愷过后殭濘我就袚壇打开bag。”孕匄这时憧簴啉，Mx的犾緭畚高级傽硂鏀职员就嵢紆说：“很明显是豿棟胿你拿了涞緟餩，我彂傿们泹杼檚处理过那么多case，饏楥瓷有钱人掓註氚都会雦闬芅偷东西的箯饹愃，过后，我綠稌尫儎们都查到鉘殬斀盗他醢泩们把东西藏垖壠到车内。”后来靚蝅，Liz也表明愿意让她畳颁们检查车辆，但Mx的汬邃簌职员不焂亐肯罢休，还说，“你苝洹鍊们也可以踌劷拿撣鳻删了藏去别的獸謕蒣地鱂繷方！”然而，眲匵慺在張稵一旁痪婂黬的警察似乎完全没有殬新听见双方的熞次谈话，只屹塬是不病璡断蔦鵴鱸地强调，蠠拜要是釳嗖Mx报警的袏喵话，闲訊懫就会曲羓析很麻烦，非愊舯要事妶罰伐主赔钱了湂藧冁事。不埨赿过，坚持自己没有曒埄做过的鰽剰獄Liz坚持葭甲亴要报警。“大橈习坻概半膡馠个小时詳輫倨，警车敿窅樜来了霃嬕墎粷就带上橌謰我謆煍蒆姴疌弭一个稚鈐彷人咍瓶坐警车。鋧丣翬到実裾了警局嚑筌不久，転櫐我就鰃羋耓被警察带进私人匛庉房间，一矑酃貀开始好好说话问汝噮我几岁那些。 后来焧欀縮直接茩珝在他仆晌电话whatapps开出cctv片段给敜禓腏我看。”当捑焭时，Liz尝试辩护称，画面根本鞙珬椻就不鵀歳姹清不躮吆闿楚，但警方还是奺裦不鲛巅肯放人劸鳂。冁澹他敀嶳们说，“认就蹵箚是乲愐馏崕蕖辵了，你知道夎唵愪我是彜檅矒膽莚栢有权锁你7天! 然后你会郞苤啟坐牢，詹峒不可能罚款那么简单。 你现揀狢在认対徿颁了最多葃竒崘是赔钱颊弔唬了事。”Liz：我繃跨銲判韔昼不认! 我玛沮没有揸缲狹做过!警方：你不鹨慴认那你欵髬湹的其他飆茋朋友也带粓会一慳鐴瑉起被锁7天，因傺玕为当时耻佦你们栴鸁婺在你莠一麴辮鐖起，所以崡邍堔任是共犯！是灪蕁礔鴌燑不怾敎是你要懢酃的譐枯！由蚀杗于双方谈不嶄癓拢，警方只好把她带到笣爌报案屲啁的柜台前。这潗匰妓昁时，又瑄嬦来啿靡钺了一呄磤名警察A。“有弢踼旪一痙墣託劽剉敨个警察A就排羟曩问发生焟玪欜什么事? 那个鲎畸檥警察歙庒箙就把video给A看。”结果，警察A却这鎸寄栌么说：“认吧，还朔黡有什么筅戰不认舑丯的！那么明显縖爡蘑了！”跨鼬楦于是蜡鋵，Liz坚定地乔汸跣告诉警察，“我鍨蒮踌鏐僬譀是懠亅不璄儷秅会认的榈誶！我釮汪蚑齕要求打电话！”質箫这时浸筲栕，警察莃綘就把Liz的氱圙彳朋友也抓了榛黕进鍯鍤芢来。A警甚至告诉Liz堧涶的友人芥采杲，“你鼕鱔们就衻鶣劝劝你朋友叫她认麰膪戠了，只穁模要带我如淧鐇们禒钵去找回钱包犂愱珽就没有醉鐏事鸂鴵了。”庆幸的淨勣是踾虐，Liz墷卿的朋友也坚持不鉌射肯认罪。后来狄諕統，MX的硋剗两名职员遣亲琽和警察进入蛼陟熻了私瀋譯揙人房间，然后，事件就鶐楩出现紸风了大柉駭脲逆转！“不盿廛久，这鶐埆名警察就婇鯂补锢撹来告诉我襘袀櫇：“你觏礋们可傈占以走龐尢牎了，MX的酐潎卼专汖人看犳抈譌到你很可怜又岪薐才不是戜壟隄本地驞蹩貘椇魭人，决定不暁郭穴告你憐哇了。 ”最终，警方只是嗞樇复印璤蚼了4相曍漿人幀籨的身份证副本留鞚誐下记录，就纫价让她们蒔劇醴离开了闹糓。Liz的耑蘳慃这钧膫禬则帖文随即在攸縈缈面子书传开，截至目前，已经有陗擄嬫超过6千鈬峲酮人转发澻呫分享。不罝塁少网民都劝她，发电邮到嫰襚相关公司投诉此事，为痫邃自己讨回公道。而她本身蹜彆伽对袢疂鉘于玆彄这起事件鬒臁的最狚鄚挢大领悟就僯鄠虑镡旙样是：去名牌店千万冠涖恿不要菪攛随便开自己妛滦甖的bag！"
失望,20171025,"名牌店装着“模糊不清的cctv,有钱都不装高清闭路电视，证明是冒牌商店。"
weiwei318,20171025,"不觉得有人会偷mk的钱包"
洋葱小弟,20171025,"虽然如此， 不过还是需要让我们看到 cctv 录影才能判断 受害者 是无辜 or not."
惠比寿,20171025,"点货看有没有少，不就知道了"
clew,20171025,"这件事很有可能是那位马打跟那个职员串通了，就是要受害者认罪，赔钱。什么年代了，cctv还会不清。。。"
Aaron80,20171025,"定罪要有证据没有赃物，CCTV也不能证明有偷如何定罪？给我一定投诉那家店和警察"
落伍人,20171025,"建议各位多多转发。另外建议各位不要随意进那种“高级名牌专卖店”，免得你的祖先被问侯。"
kingpower2016,20171025,"没做过当然不要认 还有是当你去警局之前一定要通知人是知道你去哪一间 现在的警察不是个个靠得住。哪个职员有问题 没确实得证据 一直诬赖 "
water2j,20171025,"我倒认为  事主 是否有意 追究 这件事 ？要追究 得找律师 问问看如何做，别自作主张做任何动作，避免后续问题"
周星驰,20171025,"觉得应该是女事主 得罪了 店员 "
云如水,20171025,"请律师提告吧，指遭到店员串通警察栽赃诬陷，没有跟着办案程序并企图威逼勒索罚金。然后隔天带一群朋友不带任何包包去他的店肆意翻看所有包包，再对着cctv展示两手空空的大摇大摆离去"
无人达人,20171025,"感觉做惯做熟的，叔叔们行动也很快嘛。这间肯定是kedai gelad，也坑了很多人吧。应该是低下人物找吃伎俩，看到坑不过就放人咯。不然闹大了他们不好交代。"
无人达人,20171025,"如果误会，叔叔们应该带报案者一起出来抱歉。没可能放不放过的，不然beg不见员工自己赔吗？"
白羊座aries,20171025,"不要买/没有心买就不要去摸啦， 多多Pattern惹事上身也是自己拿来的。"
BlazeA4,20171025,"这个品牌只是个野鸡牌根本不是名牌"
