Topic title: 马航中文拜年广告红了!
username,date,text
cyber20,20170130,"马航于25日在脸书上传一段长达1分41秒的贺年短片，短片标题为“真正来自大马的祝福”（A trulyMalaysiangreeting），主打大马多元种族特色，邀请马来人与印度人以流利华语、广东话与福建话说出各式祝贺词，让所有大马人感受到温暖的新春祝福。这段影片在大马各处地标取景，包括华人传统市集“吉隆坡茨厂街”。影片开始先卖关子拍摄灯笼，并搭配一把字正腔圆的华语，下一个镜头却转向一位马来青年，对着镜头说出庆贺新年。影片穿插不同的马来人与印度人入镜，除了用华语说出各式祝福愿景外，有些甚至还能以福建话及广东话说出大马庆祝佳节的特色，凸显大马多元种族社会。影片最后压轴登场的是一名身穿马航制服的马来空姐，她也以中文祝福计划在新年出游的国人，一切顺利。影片从自25日上传短短2天，就几乎了近百万人点阅观赏，除了有3万人按赞外，更有超过1万4000千人转发分享。不少网民留言称赞这支贺年短片，直呼影片几乎没看到任何华人入镜，却依然让人感到祝贺惊喜，甚至有网民夸赞这是今年最好的农历新年贺岁影片。            只有把MO1和中立刷下马来西亚才能真正种族和谐"
q(o_o)p,20170130,"也不要忘了 英俊首相 的祝福"
洗零,20170130,"感觉上全部是 对嘴型配音的除了 那个在市场街讲福建话的感觉上 应该是bangla来的"
寂寞的小子,20170130,"华人传统市集？感觉叫外劳街比较贴切"
大赚小赔,20170130,"红豆兵连个贺年广告也要政治化。"
MC2,20170130,"很棒的广告。这个广告在国外都在分享着。当一堆政治人物主打种族政治的当儿，平民百姓依然标榜多元种族团结相处的重要性，真是讽刺。"
小杨,20170130,"在镜头前无论是谁都是乖孩子   "
sm99999,20170130,"这广告不错。"
bashlyner,20170130,"大马能够出现说中文流利的各族同胞，这一定是行动党和戏盟的功劳啦 "
enidsyl,20170130,"馬航應該提高空服員素質，很多都很沒禮貌，很不友善。"
miloicekawkaw,20170130,"最后那个感觉有点怪怪滴…………我们灰机上见"
Hishammudin,20170130,"以前有一個不知道是不是國慶廣告有一華人能講流利的淡米而文，然後馬來人講話語。"
飞天马骝,20170131,"这广告就是歧视！为什么没有BANGLA？他们也是CIMB里头其中一员啊！"
lam69,20170131,"广告编制到多和谐都没有用的。政治人物的一句话，一个举动，通通把什么和谐广告扫倒踩在地上。"
lam69,20170131,"PUI！每逢佳节就会看到这些很假的广告。"
yw98,20170131,"有免费机票吗？"
SurveyPlayer,20170131,"在飞机上带你们去撞飞机"
SilLyPanDa,20170131,"不假设是不是对嘴看到这样的广告。。我在想有多少位华人掌握印度文？再这样下去我们缺一项优势"
kennyteoh818,20170201,"最喜欢泰航"
chinapee,20170201,"2017 最白痴的话只有把MO1和中立刷下难道新人上位就不吃？ "
傻哥哥,20170201,"看到马来仔说中文唱年歌，个个叫好，太平盛世。看到龙族打沙笼带宋谷，唱马来歌，你又什么滋味？"
总司令,20170202,"1:12兇拜。短片沒有做品質檢查，那麽飛機有做QC嗎？"
otkkalahteruk,20170202,"裡面有不少華人吧"
