Topic title: 冷血凶手让猫狗吃下“毒肉” 狗儿抽搐吐白沫死亡！
username,date,text
Cari_CYJ,20171017,"有句话说，“人心最可怕”，并非全无道理。日前，一名印裔网友Malini就透过面子书同心谴责冷血的民众，竟然无故毒害她家的爱犬。图片来源：Malini 面子书Malini于10日晚间发文称，“星期天晚上后，我更讨厌人类了。这人该为多只枉死的动物负起责任。”她控诉，这名凶手不单杀害了她家的狗（Rufus），就连邻居的猫狗也惨遭他的毒手。“他就是把有毒的肉扔进我家的凶手，我的狗狗把它吃了。但他没有察觉，我们的摄像机已经拍下一切了。Rufus在10分钟内就毒发身亡。他也杀害了邻居的猫狗。”图片来源：Malini 面子书根据Malini上传的照片，她指为凶手的男子开着PCL XXXX的Nissan轿车到事主家门前犯案。他当时身穿白色T恤，戴着鸭舌帽，肤色看似是一名印裔男子。Loading FB Video...【视频来源：Malini 面子书】Malini上传的视频也显示，Rufus中毒后口吐白沫，还痛苦地倒在地上抽搐，没多久后就气绝身亡。图片来源：Malini 面子书这则帖文随即掀起民愤，不少网民纷纷转发帖文苛责这名凶手的行径。截至目前，已经有近万人转发这则帖文，留言区更是累积了超过4千评论。- 这名男子似乎有当连环杀手的倾向。我会到附近警局报案，同时向执法单位举报他。他的余生应该对他的所作所为负责。- 这些混蛋应该被折磨致死，让可怜的狗儿受尽痛苦- 真正的恶魔，能不能对他采取任何行动？不然就该发起请愿书，我们必须停止这一切。- 他会有报应的，他会慢慢地、痛苦地死去- 把他找出来然后送他进监狱，同时向执法单位要求鞭刑图片来源：Malini 面子书与此同时，也有不少网民不解地问道，为何拍摄视频者没有捉紧时间拯救狗狗，反而花时间录下这些画面？- 我不明白，你竟然在它快死的时候，录制视频？而它竟然是你的狗？你就和那名凶手一样。应该赶紧给它盐水，好让它吐出一切！- 录制狗狗痛苦抽搐视频的人比下毒的人更恶毒。这些人一定会承受比狗狗多三倍的痛苦。此外，也有不少人呼吁事主向警方呈上凶手的车牌和样貌，希望警方能够尽早将凶手绳之以法。"
禅师,20171017,"阿彌陀佛"
vacheron,20171017,"那条狗信基督教的"
Carpenter,20171017,"禅师辛苦了"
Carpenter,20171017,"RIP 这rip是给凶手的"
SanShu,20171017,"Why cover the face!? We should shame that bastard for what he did so deliberately!"
我是传说,20171017,"我真的不知道说什么，我家附近很多养狗的每次大便就是哪里都是，最搞笑有的狗主带着狗到草场大小便！又不清理干净小孩子踏到一脚狗粪回家！。。。。。我真的只想说凡事必有原因。"
Mitutoyo,20171017,"你妹的，不懂是不是一瞪干的好事。一样黑心肠的人"
alex2083,20171017,"是在PENANG么？已经开始这种到处发生毒杀猫狗的'活动'很长一段时日了既然拍到了凶手就去找出他的老板是谁吧答案呼之欲出啦嗯嗯嗯嗯嗯嗯嗯"
假冒是神50,20171017,"吃了剧毒还有得救?那些喊为啥不救的你们想救就请帮忙揪出背后那个MURDERER吧救下一轮将被毒死的嗯"
